Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Volkswagen,,,,,,Fair Price,
Volkswagen,,,,,,Fair Price,
Volkswagen,,,,,,Fair Price,
Volkswagen,Volkswagen Polo,Hatch 1.0TSI 70kW Life,Volk,46 416,Manual,Great Price,R 239 950
Volkswagen,Volkswagen T-Cross,1.0TSI 70kW Comfortline,Volk,140 000,Manual,Great Price,R 247 900
Volkswagen,Volkswagen Polo Vivo,Hatch 1.4,Volk,60 161,Manual,Great Price,R 204 900
Volkswagen,Volkswagen Polo,Hatch 1.2TSI Comfortline,Volk,149 000,Manual,Great Price,R 129 900
Volkswagen,Volkswagen T-Cross,1.0TSI 85kW Highline,Volk,132 548,Automatic,Great Price,R 299 900
Volkswagen,Volkswagen Amarok,3.0 V6 TDI Double Cab Extreme 4Motion,Volk,121 000,Automatic,Great Price,R 619 999
Volkswagen,Volkswagen Amarok,2.0BiTDI Double Cab Highline 4Motion Auto,Volk,136 220,Automatic,Great Price,R 479 900
Volkswagen,Volkswagen Polo Vivo,Hatch 1.4,Volk,16 000,Manual,Great Price,R 229 900
Volkswagen,Volkswagen T-Cross,1.0TSI Life DSG 85kW,Volk,29 805,Automatic,Great Price,R 354 900
Volkswagen,Volkswagen Polo,Hatch 1.0TSI 85kW R-Line,Volk,54 000,Automatic,Great Price,R 349 995
Volkswagen,,,,,,No Rating,
Volkswagen,,,,,,No Rating,
Volkswagen,,,,,,No Rating,
Volkswagen,Volkswagen T-Cross,1.0TSI 85kW Comfortline R-Line,Volk,129 000,Automatic,Great Price,R 259 995
Volkswagen,Volkswagen Polo Vivo,Hatch 1.6 Comfortline,Volk,133 728,Manual,Great Price,R 129 950
Volkswagen,Volkswagen Amarok,2.0BiTDI Double Cab Highline 4Motion Auto,Volk,187 162,Automatic,Great Price,R 289 000
Volkswagen,Volkswagen Polo Vivo,Hatch 1.4 Comfortline,Volk,28 000,Manual,Great Price,R 195 900
Volkswagen,Volkswagen T-Cross,1.0TSI Auto,Volk,13 960,Automatic,Great Price,R 349 900
Volkswagen,Volkswagen Tiguan Allspace,1.4TSI 110kW R-Line,Volk,6 660,Automatic,Great Price,R 697 000
Volkswagen,ined,,ined,,,,
Volkswagen,Volkswagen Kombi,2.0TDI SWB Trendline Auto,Volk,152 000,Automatic,Great Price,R 399 950
Volkswagen,Volkswagen T-Cross,1.5TSI 110kW R-Line,Volk,22 291,Automatic,Great Price,R 399 995
Volkswagen,Volkswagen Polo,Hatch 1.0TSI 70kW Life,Volk,99 456,Manual,Great Price,R 249 990
Volkswagen,Volkswagen Polo Vivo,Hatch 1.4,Volk,116,Manual,No Rating,R 279 950
Volkswagen,Volkswagen T-Roc,1.4TSI 110kW Design,Volk,79 819,Automatic,Great Price,R 329 990
Volkswagen,Volkswagen Polo,GTI,Volk,103 384,Automatic,Great Price,R 399 995
Volkswagen,Volkswagen Polo,Hatch 1.0TSI 70kW,Volk,160 000,Manual,Fair Price,R 259 950
Volkswagen,Volkswagen Polo,Sedan 1.0TSI Style,Volk,11 000,Automatic,Great Price,R 379 900
Volkswagen,Volkswagen Polo,Sedan 1.0TSI Style,Volk,7 000,Automatic,Great Price,R 389 900
Volkswagen,,,,,,Great Price,
Volkswagen,,,,,,No Rating,
Volkswagen,,,,,,No Rating,
Volkswagen,Volkswagen Polo,Hatch 1.0TSI 70kW Life,Volk,125 900,Manual,Great Price,R 249 900
Volkswagen,Volkswagen Tiguan Allspace,2.0TDI 4Motion Comfortline R-Line,Volk,81 000,Automatic,Great Price,R 409 990
Volkswagen,Volkswagen Amarok,3.0 V6 TDI Double Cab Highline 4Motion,Volk,161 000,Automatic,Great Price,R 419 900
Volkswagen,Volkswagen Polo,Hatch 1.0TSI Trendline,Volk,165 000,Manual,Great Price,R 159 900
Volkswagen,Volkswagen T-Cross,1.0TSI 85kW Highline,Volk,83 000,Automatic,Great Price,R 299 995
Volkswagen,Volkswagen Amarok,2.0BiTDI Double Cab Highline 4Motion Auto,Volk,173 461,Automatic,Fair Price,R 299 900
Volkswagen,Volkswagen Amarok,3.0TDI V6 Double Cab Style 4Motion,Volk,98 000,Automatic,Great Price,R 699 995
Volkswagen,Volkswagen Tiguan Allspace,1.4TSI Comfortline,Volk,75 600,Automatic,Great Price,R 359 900
Volkswagen,Volkswagen Polo,Sedan 1.6 Auto,Volk,5 972,Automatic,Great Price,R 289 500
Volkswagen,Volkswagen Touareg,V6 TDI R-line,Volk,18 379,Automatic,Great Price,R 1 429 500
Volkswagen,,,,,,No Rating,
Volkswagen,,,,,,No Rating,
Volkswagen,,,,,,No Rating,
Volkswagen,ined,,ined,,,,
Volkswagen,Volkswagen Polo,Hatch 1.0TSI 70kW Life,Volk,119 226,Manual,Great Price,R 249 900
Volkswagen,Volkswagen T-Cross,1.0TSI 85kW Highline,Volk,74 000,Automatic,Great Price,R 309 500
Volkswagen,Volkswagen Amarok,2.0BITDI Double Cab Style 4Motion,Volk,24 000,Automatic,Great Price,R 699 995
Volkswagen,Volkswagen Tiguan Allspace,2.0TDI 4Motion Comfortline R-Line,Volk,175 000,Automatic,Great Price,R 319 900
Volkswagen,Volkswagen T-Cross,1.0TSI 85kW Highline R-Line,Volk,35 410,Automatic,Great Price,R 349 995
Volkswagen,Volkswagen Amarok,3.0 V6 TDI Double Cab Highline 4Motion,Volk,65 000,Automatic,Great Price,R 619 899
Volkswagen,Volkswagen Golf,1.4TSI Comfortline,Volk,32 569,Automatic,Great Price,R 288 800
Volkswagen,Volkswagen Amarok,3.0 V6 TDI Double Cab Extreme 4Motion,Volk,55 293,Automatic,Fair Price,R 749 900
Volkswagen,Volkswagen Golf,GTI Performance Auto,Volk,136 000,Automatic,Fair Price,R 329 900
Volkswagen,Volkswagen Tiguan Allspace,2.0TDI 4Motion Comfortline,Volk,132 547,Automatic,Great Price,R 299 900
Volkswagen,Volkswagen Polo,Hatch 1.0TSI,Volk,22 600,Manual,Fair Price,R 314 900
Volkswagen,Volkswagen Polo Vivo,Hatch 1.4 Trendline,Volk,107 500,Manual,Great Price,R 159 995
Volkswagen,Volkswagen Polo,Hatch 1.0TSI Trendline,Volk,117 652,Manual,Fair Price,R 209 900
Volkswagen,Volkswagen T-Cross,1.0TSI 70kW Comfortline R-Line,Volk,61 058,Manual,Great Price,R 319 995
Volkswagen,Volkswagen Transporter,2.0TDI 110kW Kombi SWB Trendline,Volk,113 651,Automatic,Fair Price,R 609 900
Volkswagen,,,,,,Fair Price,
Volkswagen,,,,,,Great Price,
Volkswagen,,,,,,Fair Price,
Volkswagen,Volkswagen Polo Vivo,Hatch 1.4,Volk,38 578,Manual,Great Price,R 220 400
Volkswagen,Volkswagen Polo,Hatch 1.0TSI Comfortline,Volk,122 500,Manual,Fair Price,R 214 995
Volkswagen,Volkswagen Amarok,3.0 V6 TDI Double Cab Highline 4Motion,Volk,161 000,Automatic,Great Price,R 419 900
Volkswagen,Volkswagen T-Roc,2.0TSI 140kW 4Motion R-Line,Volk,92 000,Automatic,Great Price,R 397 500
Volkswagen,Volkswagen Amarok,3.0 V6 TDI Double Cab Extreme 4Motion,Volk,121 000,Automatic,Great Price,R 619 999
Volkswagen,Volkswagen Polo,Hatch 1.0TSI Comfortline R-Line,Volk,84 000,Manual,Fair Price,R 289 950
Volkswagen,Volkswagen Polo Vivo,Hatch 1.4 Trendline,Volk,56 500,Manual,Fair Price,R 169 995
Volkswagen,Volkswagen Caravelle,2.0BiTDI 146kW Highline 4Motion,Volk,72 225,Automatic,Great Price,R 999 999
Volkswagen,Volkswagen Amarok,2.0BiTDI Double Cab Highline 4Motion Auto,Volk,173 461,Automatic,Fair Price,R 299 900
Volkswagen,Volkswagen Amarok,3.0 V6 TDI Double Cab Extreme 4Motion,Volk,55 293,Automatic,Fair Price,R 749 900
Volkswagen,,,,,,No Rating,
Volkswagen,,,,,,No Rating,
Volkswagen,,,,,,No Rating,
Volkswagen,Volkswagen T-Cross,1.0TSI 70kW Comfortline,Volk,14 348,Manual,Fair Price,R 329 995
Volkswagen,Volkswagen Tiguan Allspace,2.0TSI 4Motion Highline,Volk,89 148,Automatic,No Rating,R 499 995
Volkswagen,Volkswagen T-Cross,1.0TSI 85kW Comfortline R-Line,Volk,55 000,Automatic,Fair Price,R 308 450
Volkswagen,Volkswagen T-Cross,1.0TSI Auto,Volk,13 960,Automatic,Great Price,R 349 900
Volkswagen,Volkswagen Polo,Hatch 1.0TSI,Volk,28 530,Manual,Fair Price,R 289 500
Volkswagen,ined,,ined,,,,
Volkswagen,Volkswagen Polo,Hatch 1.0TSI,Volk,28 871,Manual,Fair Price,R 289 500
Volkswagen,Volkswagen T-Cross,1.0TSI 85kW Comfortline,Volk,66 798,Automatic,Fair Price,R 344 900
Volkswagen,Volkswagen Polo Vivo,Hatch 1.4 Trendline,Volk,30 000,Manual,Fair Price,R 219 900
Volkswagen,Volkswagen Polo,Hatch 1.0TSI Trendline,Volk,165 000,Manual,Great Price,R 159 900
Volkswagen,Volkswagen T-Roc,1.4TSI 110kW Design,Volk,79 819,Automatic,Great Price,R 329 990
Volkswagen,Volkswagen Polo,GTI,Volk,103 384,Automatic,Great Price,R 399 995
Volkswagen,Volkswagen Amarok,3.0TDI V6 Double Cab Panamericana 4Motion,Volk,65 104,Automatic,Fair Price,R 849 990
Volkswagen,Volkswagen Golf,1.4TSI Life +,Volk,11 000,Automatic,Great Price,R 539 900
Volkswagen,Volkswagen T-Cross,1.0TSI Auto,Volk,14 000,Automatic,Fair Price,R 379 900
Volkswagen,Volkswagen T-Cross,1.0TSI Manual,Volk,13 000,Manual,No Rating,R 369 900
Volkswagen,,,,,,Great Price,
Volkswagen,,,,,,Fair Price,
Volkswagen,,,,,,Fair Price,
Volkswagen,Volkswagen T-Roc,2.0TSI 4Motion R-Line,Volk,Automa,Petrol,No Rating,R 749 400
Volkswagen,Volkswagen T-Roc,2.0TSI 4Motion R-Line,Volk,Automa,Petrol,No Rating,R 765 800
Volkswagen,ined,,ined,,,,
Volkswagen,Volkswagen Polo Vivo,Hatch 1.6 Life Tip,Volk,Automa,Petrol,No Rating,R 301 800
Volkswagen,Volkswagen Polo,Hatch 1.0TSI,Volk,31 266,Manual,Fair Price,R 289 500
Volkswagen,Volkswagen Polo,Hatch 1.0TSI,Volk,28 530,Manual,Fair Price,R 289 500
Volkswagen,Volkswagen Polo,Hatch 1.0TSI,Volk,28 871,Manual,Fair Price,R 289 500
Volkswagen,Volkswagen Amarok,3.0TDI V6 Double Cab Panamericana 4Motion,Volk,65 104,Automatic,Fair Price,R 849 990
Volkswagen,Volkswagen T-Cross,1.0TSI 85kW Highline,Volk,28 428,Automatic,Great Price,R 332 743
Volkswagen,Volkswagen Polo Vivo,Hatch 1.4 Trendline,Volk,87 435,Manual,Fair Price,R 199 990
Volkswagen,Volkswagen T-Roc,2.0TSI 140kW 4Motion R-Line,Volk,61 000,Automatic,Fair Price,R 489 900
Volkswagen,,,,,,No Rating,
Volkswagen,,,,,,No Rating,
Volkswagen,,,,,,No Rating,
Volkswagen,Volkswagen Polo Vivo,Hatch 1.4,Volk,26 504,Manual,Fair Price,R 229 500
Volkswagen,Volkswagen Polo Vivo,Hatch 1.4,Volk,4 384,Manual,Fair Price,R 259 900
Volkswagen,Volkswagen Polo,GTI,Volk,123 500,Automatic,Fair Price,R 349 900
Volkswagen,Volkswagen Polo,Hatch 1.0TSI Comfortline Auto,Volk,28 089,Automatic,Fair Price,R 269 900
Volkswagen,Volkswagen Polo Vivo,Hatch 1.4 Trendline,Volk,56 500,Manual,Fair Price,R 169 995
Volkswagen,Volkswagen Amarok,2.0TDI Double Cab Life Auto,Volk,7 100,Automatic,Fair Price,R 639 950
Volkswagen,Volkswagen Polo,Hatch 1.0TSI Comfortline,Volk,122 500,Manual,Fair Price,R 214 995
Volkswagen,Volkswagen Caravelle,2.0BiTDI 146kW Highline 4Motion,Volk,113 000,Automatic,Great Price,R 949 900
Volkswagen,Volkswagen Polo Vivo,Hatch 1.4,Volk,22 000,Manual,Great Price,R 227 900
Volkswagen,Volkswagen Touareg,V6 TDI Executive R-Line,Volk,25 000,Automatic,Great Price,R 1 229 990
Volkswagen,Volkswagen Tiguan,1.4TSI Life,Volk,12 995,Automatic,No Rating,R 579 950
Volkswagen,Volkswagen T-Cross,1.0TSI Auto,Volk,14 000,Automatic,Fair Price,R 379 900
Volkswagen,Volkswagen T-Cross,1.0TSI Manual,Volk,13 000,Manual,No Rating,R 369 900
Volkswagen,Volkswagen T-Cross,1.0TSI Life DSG 85kW,Volk,11 000,Automatic,Fair Price,R 419 900
Volkswagen,Volkswagen T-Cross,1.0TSI Auto,Volk,21 000,Automatic,Fair Price,R 379 900
Volkswagen,,,,,,No Rating,
Volkswagen,,,,,,No Rating,
Volkswagen,,,,,,Great Price,
Volkswagen,Volkswagen Polo,Hatch 1.0TSI Comfortline R-Line,Volk,160 000,Manual,Great Price,R 219 990
Volkswagen,Volkswagen T-Cross,1.0TSI 85kW Comfortline,Volk,66 798,Automatic,Fair Price,R 344 900
Volkswagen,Volkswagen Polo Vivo,Hatch 1.4,Volk,16 000,Manual,Fair Price,R 234 900
Volkswagen,Volkswagen Polo,Hatch 1.0TSI Life Manual,Volk,Man,Petrol,No Rating,R 373 950
Volkswagen,Volkswagen Polo,Hatch 1.2TSI Comfortline,Volk,111 252,Manual,Fair Price,R 179 800
Volkswagen,ined,,ined,,,,
Volkswagen,Volkswagen Amarok,3.0TDI V6 Double Cab Aventura 4Motion,Volk,Automa,Diesel,No Rating,R 1 099 950
Volkswagen,Volkswagen Amarok,2.0BITDI Double Cab Style 4Motion,Volk,Automa,Diesel,No Rating,R 804 950
Volkswagen,Volkswagen Amarok,2.0TDI Double Cab Life,Volk,Automa,Diesel,No Rating,R 641 950
Volkswagen,Volkswagen Amarok,3.0TDI V6 Double Cab Aventura 4Motion,Volk,Automa,Diesel,No Rating,R 1 099 950
Volkswagen,Volkswagen Amarok,3.0TDI V6 Double Cab Aventura 4Motion,Volk,Automa,Diesel,No Rating,R 1 099 950
Volkswagen,,,,,,No Rating,
Volkswagen,,,,,,Fair Price,
Volkswagen,,,,,,Fair Price,
Volkswagen,Volkswagen Tiguan,2.0TSI 4Motion Highline R-Line,Volk,65 000,Automatic,Great Price,R 469 900
Volkswagen,Volkswagen Tiguan,2.0TSI 4Motion Highline R-Line,Volk,57 000,Automatic,Great Price,R 469 900
Volkswagen,Volkswagen T-Cross,1.0TSI Life,Volk,Automa,Petrol,No Rating,R 448 100
Volkswagen,Volkswagen Caravelle,2.0BiTDI 146kW Highline 4Motion,Volk,72 225,Automatic,Great Price,R 999 999
Volkswagen,Volkswagen Polo Vivo,Hatch 1.4 Trendline,Volk,41 800,Manual,Great Price,R 139 000
Volkswagen,Volkswagen Polo,Hatch 1.0TSI Highline Auto,Volk,105 506,Automatic,Great Price,R 229 900
Volkswagen,Volkswagen Tiguan,R,Volk,32 000,Automatic,High Price,R 949 900
Volkswagen,Volkswagen T-Cross,1.0TSI 70kW Comfortline,Volk,14 348,Manual,Fair Price,R 329 995
Volkswagen,Volkswagen T-Cross,1.0TSI Auto,Volk,10 757,Automatic,Great Price,R 346 000
Volkswagen,Volkswagen Amarok,3.0 V6 TDI Double Cab Highline 4Motion,Volk,99 840,Automatic,Fair Price,R 539 900
Volkswagen,Volkswagen T-Cross,1.0TSI Style,Volk,4 335,Automatic,Fair Price,R 459 996
Volkswagen,Volkswagen Polo,Sedan 1.6,Volk,8 988,Manual,Fair Price,R 279 996
Volkswagen,Volkswagen Cross Polo,1.2TSI,Volk,190 200,Manual,Great Price,R 157 900
Volkswagen,Volkswagen Polo Vivo,1.4,Volk,5 000,Manual,No Rating,R 279 900
Volkswagen,Volkswagen Polo Vivo,1.4,Volk,5 000,Manual,No Rating,R 279 900
Volkswagen,,,,,,Great Price,
Volkswagen,,,,,,No Rating,
Volkswagen,,,,,,High Price,
Volkswagen,Volkswagen Polo Vivo,1.4,Volk,5 000,Manual,No Rating,R 279 900
Volkswagen,Volkswagen Tiguan,2.0TSI 162kW 4Motion R-Line,Volk,56 899,Automatic,Great Price,R 599 499
Volkswagen,Volkswagen T-Cross,1.0TSI Style,Volk,10 065,Automatic,No Rating,R 399 996
Volkswagen,Volkswagen Taigo,1.0TSI R-Line,Volk,11 596,Automatic,No Rating,R 489 996
Volkswagen,Volkswagen Caravelle,2.0BiTDI Highline 4Motion,Volk,66 733,Automatic,Fair Price,R 919 900
Volkswagen,Volkswagen Polo,Hatch 1.0TSI,Volk,6 200,Manual,No Rating,R 359 900
Volkswagen,Volkswagen T-Cross,1.0TSI Auto,Volk,13 500,Automatic,Fair Price,R 369 500
Volkswagen,Volkswagen Golf,GTI,Volk,8 900,Automatic,Fair Price,R 809 900
Volkswagen,Volkswagen Golf,GTI,Volk,48,Automatic,No Rating,R 899 950
Volkswagen,Volkswagen Polo,Sedan 1.4 Trendline,Volk,51 983,Manual,Fair Price,R 209 900
Volkswagen,,,,,,Fair Price,
Volkswagen,,,,,,Great Price,
Volkswagen,,,,,,Low Price,
Volkswagen,Volkswagen Polo,Sedan 1.4 Trendline,Volk,95 286,Manual,Fair Price,R 209 900
Volkswagen,Volkswagen T-Cross,1.0TSI 70kW Comfortline,Volk,55 000,Manual,Fair Price,R 279 900
Volkswagen,Volkswagen Polo Vivo,1.4,Volk,5 000,Manual,No Rating,R 279 900
Volkswagen,Volkswagen Polo Vivo,1.4 Life,Volk,10,Manual,No Rating,R 309 900
Volkswagen,Volkswagen Polo Vivo,1.4 Life,Volk,5,Manual,No Rating,R 279 900
Volkswagen,Volkswagen Polo Vivo,1.4,Volk,126,Manual,No Rating,R 249 900
